time,ld,pv,c_grid_in,c_grid_out
 01/14  09:00:00,6.331520669,0.003514924,0.1781,0
 01/14  10:00:00,6.331520669,0.047029613,0.1781,0
 01/14  11:00:00,6.331520669,0.06794792,0.1781,0
 01/14  12:00:00,6.331520669,0.075567358,0.1781,0
 01/14  13:00:00,4.681504582,0.078932391,0.1781,0
 01/14  14:00:00,4.681504582,0.076435408,0.1781,0
 01/14  15:00:00,4.681504582,0.053961143,0.1781,0
 01/14  16:00:00,4.681504582,0.005278902,0.1781,0
 01/14  17:00:00,5.833004582,0,0.1781,0
 01/14  18:00:00,6.159496539,0,0.1781,0
 01/14  19:00:00,4.228018768,0,0.1781,0
 01/14  20:00:00,4.228018768,0,0.1781,0
 01/14  21:00:00,4.228018768,0,0.1781,0
 01/14  22:00:00,4.228018768,0,0.1781,0
 01/14  23:00:00,4.228018768,0,0.1781,0
 01/14  24:00:00,4.228018768,0,0.1781,0
 01/15  01:00:00,4.228018768,0,0.1337,0
 01/15  02:00:00,4.228018768,0,0.1337,0
 01/15  03:00:00,4.228018768,0,0.1337,0
 01/15  04:00:00,4.228018768,0,0.1337,0
 01/15  05:00:00,4.228018768,0,0.1337,0
 01/15  06:00:00,4.228018768,0,0.1337,0
 01/15  07:00:00,4.286131326,0,0.1337,0
 01/15  08:00:00,4.252688871,0,0.1337,0
 01/15  09:00:00,2.159184532,0.017499078,0.1781,0
 01/15  10:00:00,2.101071974,0.037191135,0.1781,0
 01/15  11:00:00,1.925018768,0.073892518,0.1781,0
 01/15  12:00:00,1.925018768,0.086747687,0.1781,0
 01/15  13:00:00,1.925018768,0.113206603,0.1781,0
 01/15  14:00:00,1.925018768,0.085872389,0.1781,0
 01/15  15:00:00,1.925018768,0.07058898,0.1781,0
 01/15  16:00:00,1.925018768,0.023043332,0.1781,0
 01/15  17:00:00,3.364784853,0,0.1781,0
 01/15  18:00:00,4.856441072,0,0.1781,0
 01/15  19:00:00,4.793388935,0,0.1781,0
 01/15  20:00:00,4.910185894,0,0.1781,0
 01/15  21:00:00,4.973238031,0,0.1781,0
 01/15  22:00:00,4.937058305,0,0.1781,0
 01/15  23:00:00,5.026982853,0,0.1781,0
 01/15  24:00:00,4.963930716,0,0.1781,0
 01/16  01:00:00,5.026982853,0,0.1337,0
 01/16  02:00:00,4.963930716,0,0.1337,0
 01/16  03:00:00,5.342668448,0,0.1337,0
 01/16  04:00:00,5.332230577,0,0.1337,0
 01/16  05:00:00,5.316361315,0,0.1337,0
 01/16  06:00:00,5.35853771,0,0.1337,0
 01/16  07:00:00,5.342668448,0,0.1337,0
 01/16  08:00:00,4.974704376,0,0.1337,0
 01/16  09:00:00,2.973900616,0.012174953,0.1781,0
 01/16  10:00:00,2.950309178,0.094537301,0.1781,0
 01/16  11:00:00,2.802904252,0.144335565,0.1781,0
 01/16  12:00:00,2.530872474,0.120627479,0.1781,0
 01/16  13:00:00,2.553441072,0.284556158,0.1781,0
 01/16  14:00:00,2.495042592,0.142130184,0.1781,0
 01/16  15:00:00,2.521915003,0.070170585,0.1781,0
 01/16  16:00:00,2.607185894,0.037590121,0.1781,0
 01/16  17:00:00,3.704941072,0,0.1781,0
 01/16  18:00:00,5.053855264,0,0.1781,0
 01/16  19:00:00,5.053744569,0,0.1781,0
 01/16  20:00:00,5.251158761,0,0.1781,0
 01/16  21:00:00,5.093205268,0,0.1781,0
 01/16  22:00:00,5.211698062,0,0.1781,0
 01/16  23:00:00,5.053744569,0,0.1781,0
 01/16  24:00:00,5.33008016,0,0.1781,0
 01/17  01:00:00,5.377390156,0,0.1337,0
 01/17  02:00:00,5.76000759,0,0.1337,0
 01/17  03:00:00,5.657494753,0,0.1337,0
 01/17  04:00:00,5.406446434,0,0.1337,0
 01/17  05:00:00,5.643210631,0,0.1337,0
 01/17  06:00:00,5.807765844,0,0.1337,0
 01/17  07:00:00,6.984504582,0,0.1337,0
 01/17  08:00:00,7.700681974,0,0.1337,0
 01/17  09:00:00,11.83157429,0.139090045,0.1781,0
 01/17  10:00:00,11.83157429,0.387462476,0.1781,0
 01/17  11:00:00,11.83157429,0.493814601,0.1781,0
 01/17  12:00:00,11.83157429,0.515119859,0.1781,0
 01/17  13:00:00,11.28156893,0.455562477,0.1781,0
 01/17  14:00:00,11.83157429,0.228394926,0.1781,0
 01/17  15:00:00,11.83157429,0.137090166,0.1781,0
 01/17  16:00:00,11.83157429,0.048143912,0.1781,0
 01/17  17:00:00,12.59924096,0,0.1781,0
 01/17  18:00:00,9.734531394,0,0.1781,0
 01/17  19:00:00,8.084515307,0,0.1781,0
 01/17  20:00:00,8.084515307,0,0.1781,0
 01/17  21:00:00,7.534509945,0,0.1781,0
 01/17  22:00:00,7.534509945,0,0.1781,0
 01/17  23:00:00,5.053026812,0,0.1781,0
 01/17  24:00:00,4.778024131,0,0.1781,0
 01/18  01:00:00,4.778024131,0,0.1337,0
 01/18  02:00:00,4.778024131,0,0.1337,0
 01/18  03:00:00,4.778024131,0,0.1337,0
 01/18  04:00:00,4.778024131,0,0.1337,0
 01/18  05:00:00,4.778024131,0,0.1337,0
 01/18  06:00:00,5.053026812,0,0.1337,0
 01/18  07:00:00,6.984504582,0,0.1337,0
 01/18  08:00:00,7.700681974,0,0.1337,0
 01/18  09:00:00,11.83157429,0.158364928,0.1781,0
 01/18  10:00:00,11.83157429,0.376911963,0.1781,0
 01/18  11:00:00,11.83157429,0.197593922,0.1781,0
 01/18  12:00:00,11.83157429,0.162200742,0.1781,0
 01/18  13:00:00,11.28156893,0.298735937,0.1781,0
 01/18  14:00:00,11.83157429,0.453945639,0.1781,0
 01/18  15:00:00,11.83157429,0.371934356,0.1781,0
 01/18  16:00:00,11.83157429,0.184205792,0.1781,0
 01/18  17:00:00,12.59924096,0,0.1781,0
 01/18  18:00:00,9.734531394,0,0.1781,0
 01/18  19:00:00,8.084515307,0,0.1781,0
 01/18  20:00:00,8.084515307,0,0.1781,0
 01/18  21:00:00,7.534509945,0,0.1781,0
 01/18  22:00:00,7.534509945,0,0.1781,0
 01/18  23:00:00,5.053026812,0,0.1781,0
 01/18  24:00:00,4.778024131,0,0.1781,0
 01/19  01:00:00,4.778024131,0,0.1337,0
 01/19  02:00:00,4.778024131,0,0.1337,0
 01/19  03:00:00,4.778024131,0,0.1337,0
 01/19  04:00:00,4.778024131,0,0.1337,0
 01/19  05:00:00,4.778024131,0,0.1337,0
 01/19  06:00:00,5.053026812,0,0.1337,0
 01/19  07:00:00,6.984504582,0,0.1337,0
 01/19  08:00:00,7.700681974,0,0.1337,0
 01/19  09:00:00,11.83157429,0.013933665,0.1781,0
 01/19  10:00:00,11.83157429,0.040789756,0.1781,0
 01/19  11:00:00,11.83157429,0.148921894,0.1781,0
 01/19  12:00:00,11.83157429,0.11046541,0.1781,0
 01/19  13:00:00,11.28156893,0.119544095,0.1781,0
 01/19  14:00:00,11.8362055,0.107394469,0.1781,0
 01/19  15:00:00,11.83157429,0.084096268,0.1781,0
 01/19  16:00:00,11.83157429,0.051417774,0.1781,0
 01/19  17:00:00,12.59924096,0,0.1781,0
 01/19  18:00:00,9.734531394,0,0.1781,0
 01/19  19:00:00,8.084515307,0,0.1781,0
 01/19  20:00:00,8.084515307,0,0.1781,0
 01/19  21:00:00,7.534509945,0,0.1781,0
 01/19  22:00:00,7.534509945,0,0.1781,0
 01/19  23:00:00,5.053026812,0,0.1781,0
 01/19  24:00:00,4.778024131,0,0.1781,0
 01/20  01:00:00,4.778024131,0,0.1337,0
 01/20  02:00:00,4.778024131,0,0.1337,0
 01/20  03:00:00,4.778024131,0,0.1337,0
 01/20  04:00:00,4.778024131,0,0.1337,0
 01/20  05:00:00,4.778024131,0,0.1337,0
 01/20  06:00:00,5.053026812,0,0.1337,0
 01/20  07:00:00,6.984504582,0,0.1337,0
 01/20  08:00:00,7.700681974,0,0.1337,0
 01/20  09:00:00,11.83157429,0.097631209,0.1781,0
 01/20  10:00:00,11.83157429,0.184878298,0.1781,0
 01/20  11:00:00,11.83417353,0.277401496,0.1781,0
 01/20  12:00:00,11.83470227,0.460244861,0.1781,0
 01/20  13:00:00,11.28434697,0.224076837,0.1781,0
 01/20  14:00:00,11.8820108,0.271835199,0.1781,0
 01/20  15:00:00,11.83299802,0.248793835,0.1781,0
 01/20  16:00:00,11.83157429,0.160498662,0.1781,0
 01/20  17:00:00,12.59924096,0,0.1781,0
 01/20  18:00:00,9.7352953,0,0.1781,0
 01/20  19:00:00,8.084515307,0,0.1781,0
 01/20  20:00:00,8.084515307,0,0.1781,0
 01/20  21:00:00,7.534509945,0,0.1781,0
 01/20  22:00:00,7.534509945,0,0.1781,0
 01/20  23:00:00,5.053026812,0,0.1781,0
 01/20  24:00:00,4.778024131,0,0.1781,0
 01/21  01:00:00,4.228018768,0,0.1337,0
 01/21  02:00:00,4.228018768,0,0.1337,0
 01/21  03:00:00,4.228018768,0,0.1337,0
 01/21  04:00:00,4.228018768,0,0.1337,0
 01/21  05:00:00,4.228018768,0,0.1337,0
 01/21  06:00:00,4.228018768,0,0.1337,0
 01/21  07:00:00,6.984504582,0,0.1337,0
 01/21  08:00:00,6.600671249,0,0.1337,0
 01/21  09:00:00,6.331520669,0.084696046,0.1781,0
 01/21  10:00:00,6.331520669,0.214803096,0.1781,0
 01/21  11:00:00,6.331520669,0.312918835,0.1781,0
 01/21  12:00:00,6.331520669,0.466142537,0.1781,0
 01/21  13:00:00,4.681504582,0.457918979,0.1781,0
 01/21  14:00:00,4.681504582,0.203325903,0.1781,0
 01/21  15:00:00,4.681504582,0.087931996,0.1781,0
 01/21  16:00:00,4.681504582,0.041369087,0.1781,0
 01/21  17:00:00,5.449171249,0,0.1781,0
 01/21  18:00:00,6.159496539,0,0.1781,0
 01/21  19:00:00,4.228018768,0,0.1781,0
 01/21  20:00:00,4.228018768,0,0.1781,0
 01/21  21:00:00,4.228018768,0,0.1781,0
 01/21  22:00:00,4.228018768,0,0.1781,0
 01/21  23:00:00,4.228018768,0,0.1781,0
 01/21  24:00:00,4.228018768,0,0.1781,0
 01/22  01:00:00,4.228018768,0,0.1337,0
 01/22  02:00:00,4.228018768,0,0.1337,0
 01/22  03:00:00,4.228018768,0,0.1337,0
 01/22  04:00:00,4.228018768,0,0.1337,0
 01/22  05:00:00,4.228018768,0,0.1337,0
